hb, dsr, seed, mw, mh, w, h, wl, t
200, 0.15, 66, 449, 449, 448, 449, 376485, 140.84
200, 0.1, 66, 439, 439, 439, 439, 387485, 143.78
300, 0.15, 66, 560, 560, 558, 560, 507477, 313.01
300, 0.1, 66, 548, 548, 548, 548, 544617, 324.19
100, 0.15, 67, 454, 454, 452, 453, 205195, 30.86
100, 0.1, 67, 444, 444, 442, 443, 214324, 29.34
200, 0.15, 67, 449, 449, 449, 441, 377997, 142.4
200, 0.1, 67, 439, 439, 439, 439, 387417, 141.92
300, 0.15, 67, 560, 560, 560, 560, 506649, 325.98
300, 0.1, 67, 548, 548, 548, 548, 537088, 333.68
100, 0.15, 68, 454, 454, 450, 453, 205321, 31.59
100, 0.1, 68, 444, 444, 444, 444, 217289, 32.4
200, 0.15, 68, 449, 449, 448, 449, 379231, 143.78
200, 0.1, 68, 439, 439, 439, 439, 388434, 143.02
300, 0.15, 68, 560, 560, 559, 560, 506170, 340.95
300, 0.1, 68, 548, 548, 548, 548, 534604, 334.57
100, 0.15, 69, 454, 454, 454, 454, 209530, 31.37
100, 0.1, 69, 444, 444, 444, 444, 211987, 30.05
200, 0.15, 69, 449, 449, 449, 448, 378410, 142.13
200, 0.1, 69, 439, 439, 439, 439, 392061, 140.79
300, 0.15, 69, 560, 560, 559, 560, 509021, 329.62
300, 0.1, 69, 548, 548, 548, 548, 550133, 336.45
100, 0.15, 70, 454, 454, 453, 454, 206290, 31.07
100, 0.1, 70, 444, 444, 444, 444, 217918, 31.43
200, 0.15, 70, 449, 449, 449, 449, 377540, 143.86
200, 0.1, 70, 439, 439, 438, 439, 386860, 141.11
300, 0.15, 70, 560, 560, 558, 560, 505905, 330.01
300, 0.1, 70, 548, 548, 548, 548, 543436, 321.49
100, 0.15, 71, 454, 454, 454, 454, 206070, 32.41
100, 0.1, 71, 444, 444, 444, 444, 213862, 31.32
200, 0.15, 71, 449, 449, 449, 449, 376877, 149.59
200, 0.1, 71, 439, 439, 439, 438, 390638, 143.96
300, 0.15, 71, 560, 560, 560, 560, 510398, 302.04
300, 0.1, 71, 548, 548, 548, 548, 541742, 330.94
100, 0.15, 72, 454, 454, 449, 454, 206650, 32.57
100, 0.1, 72, 444, 444, 444, 444, 214152, 32.34
200, 0.15, 72, 449, 449, 449, 448, 383979, 142.97
200, 0.1, 72, 439, 439, 439, 439, 390038, 147.7
300, 0.15, 72, 560, 560, 560, 558, 502477, 322.89
300, 0.1, 72, 548, 548, 548, 548, 548349, 327.9
100, 0.15, 73, 454, 454, 454, 454, 207451, 30.73
100, 0.1, 73, 444, 444, 444, 444, 213206, 31.28
200, 0.15, 73, 449, 449, 449, 449, 378290, 144.24
200, 0.1, 73, 439, 439, 439, 439, 389588, 145.14
300, 0.15, 73, 560, 560, 560, 559, 513578, 331.02
300, 0.1, 73, 548, 548, 548, 548, 541113, 333.79
100, 0.15, 74, 454, 454, 452, 452, 207098, 31.3
100, 0.1, 74, 444, 444, 443, 444, 212966, 28.37
200, 0.15, 74, 449, 449, 448, 449, 381258, 145.32
200, 0.1, 74, 439, 439, 439, 439, 388631, 142.31
300, 0.15, 74, 560, 560, 560, 560, 510129, 315.35
300, 0.1, 74, 548, 548, 548, 548, 541280, 323.36
100, 0.15, 75, 454, 454, 448, 454, 210295, 31.49
100, 0.1, 75, 444, 444, 444, 444, 214314, 28.61
